file,number,has_suffix,creates_table,creates_function,creates_policy,creates_trigger,storage,cron
0001_init.sql,0001,no,y,y,y,y,y,
0002_analytics.sql,0002,no,y,y,y,,,
0003_charts.sql,0003,no,,y,,,,
0004_search.sql,0004,no,y,y,y,,,
0005_library.sql,0005,no,y,y,y,,,
0006_share.sql,0006,no,y,,y,,,
0007_business_scheduler.sql,0007,no,y,y,y,y,,
0008_recommendation_metadata.sql,0008,no,,y,,,,
0009_filter_unplayable_tracks.sql,0009,no,,y,,,,
0010_storage_buckets_public.sql,0010,no,,,,,y,
0011_personal_library.sql,0011,no,y,,y,,,
0012_playlist_follow.sql,0012,no,y,y,y,,,
0013_curator_profiles.sql,0013,no,y,y,y,y,,
0014_signup_profiles.sql,0014,no,y,y,y,y,,
0015_payapp_subscriptions.sql,0015,no,y,y,y,y,,
0016_payapp_uniqueness_hardening.sql,0016,no,,,,,,
0017_artist_signup.sql,0017,no,y,y,y,y,,
0018_artist_track_review.sql,0018,no,,y,y,,,
0019_artist_streaming_analytics.sql,0019,no,,y,,,,
0020_artist_streaming_kst.sql,0020,no,,y,,,,
0021_signup_metadata_trigger.sql,0021,no,,y,,y,,
0022_signup_trigger_debug.sql,0022,no,y,y,y,y,,
0023_backfill_artist_signups.sql,0023,no,,y,,,,
0024_submit_artist_signup_rpc.sql,0024,no,,y,,,,
0025_artist_upload_eligibility.sql,0025,no,y,y,y,y,,
0026_admin_payment_sync.sql,0026,no,y,y,y,,,
0027_admin_link_unmatched.sql,0027,no,,y,,,,
0028_payapp_diagnostics.sql,0028,no,y,y,y,,,
0029_webhook_apply_internal.sql,0029,no,,y,,,,
0030_webhook_phone_match_fix.sql,0030,no,,y,,,,
0031_admin_check_bypass.sql,0031,no,,y,,,,
0032_admin_member_list_ambiguous_fix.sql,0032,no,,y,,,,
0033_admin_member_list_full_rewrite.sql,0033,no,,y,,,,
0034_admin_member_list_force_clean.sql,0034,no,,y,,,,
0035_force_activate_membership.sql,0035,no,,y,,,,
0036_payapp_state_machine.sql,0036,no,,y,,,,
0037_paid_candidate_and_revenue_fix.sql,0037,no,,y,,y,,
0038_payment_candidate_and_dashboard_admin_hotfix.sql,0038,no,,y,,y,,
0039_daily_series_payment_orders.sql,0039,no,,y,,,,
0040_payment_policy_simplification.sql,0040,no,,y,,,,
0041_admin_operation_logs.sql,0041,no,y,y,y,,,
0042_subscription_cancel_handling.sql,0042,no,,y,,,,
0043_subscription_requests_list_rpc.sql,0043,no,,y,,,,
0044_router_and_imports_signature_fix.sql,0044,no,,y,,,,
0045_membership_tier_as_truth.sql,0045,no,,y,,,,
0046_get_my_payment_status_rpc.sql,0046,no,,y,,,,
0047_paid_event_order_matching.sql,0047,no,,y,,,,
0048_force_paid_and_pending_match.sql,0048,no,,y,,,,
0049_paid_state_cancel_misroute_fix.sql,0049,no,,,,,,
0050_state4_rebill_as_paid.sql,0050,no,,y,,,,
0051_comprehensive_paid_backfill.sql,0051,no,,,,,,
0052_state4_order_match_as_paid.sql,0052,no,,y,,,,
0053_state4_trigger_autopromote.sql,0053,no,,y,,y,,
0054_sales_agents.sql,0054,no,y,y,y,y,,
0055_sales_agent_monthly_metrics.sql,0055,no,,y,,,,
0056_user_self_cancel_and_withdrawal.sql,0056,no,,y,,,,
0057_artist_contracts.sql,0057,no,y,y,y,y,,
0058_artist_tracks_metadata.sql,0058,no,,y,y,y,,
0059_settlement_policies_revenues.sql,0059,no,y,y,y,y,,
0060_artist_settlements.sql,0060,no,y,y,y,y,,
0061_payout_reveal_audit.sql,0061,no,y,y,y,y,,
0062_eligibility_rls_sync.sql,0062,no,,y,,,,
0063_release_lifecycle.sql,0063,no,,y,y,y,,
0064_safety_locks_resubmit.sql,0064,no,,y,,,,
0065_p0_stabilization.sql,0065,no,,y,,,,
0066_drop_submit_release_old_overload.sql,0066,no,,y,,,,
0067_eligibility_ambiguous_fix.sql,0067,no,,y,,,,
0068_contract_email_dispatch.sql,0068,no,y,y,y,,,
0068_contract_template_v1_seed.sql,0068,no,,,,,,
0069_contract_email_event_log.sql,0069,no,y,y,y,y,,
0070_artist_approval_sync_trigger.sql,0070,no,,y,,y,,
0071_contract_template_v1_replace.sql,0071,no,,,,,,
0072_sign_artist_contract_digest_schema.sql,0072,no,,y,,,,
0073_sign_contract_enqueue_fix.sql,0073,no,,y,,,,
0074_dsp_moderation_pipeline.sql,0074,no,y,y,y,y,,
0075_submit_release_visibility_fix.sql,0075,no,,y,,y,,
0076_auto_release_pipeline.sql,0076,no,y,y,y,,,
0077_public_track_audio_guard.sql,0077,no,,,y,,,
0078_stream_event_hardening.sql,0078,no,,y,,,,
0079_settlement_eligible_filter.sql,0079,no,,,,,,
0080_security_hardening.sql,0080,no,,,,,,
0081_settlement_detail_eligible_columns.sql,0081,no,,y,,,,
0082_audio_health_columns.sql,0082,no,,y,,,,
